video_id,title,category,thumbnail_url,duration_seconds
movie_1,Toy Story (1995),Animation,https://picsum.photos/seed/movie_1/320/180,6548
movie_2,GoldenEye (1995),Action,https://picsum.photos/seed/movie_2/320/180,4951
movie_3,Four Rooms (1995),Thriller,https://picsum.photos/seed/movie_3/320/180,6414
movie_4,Get Shorty (1995),Action,https://picsum.photos/seed/movie_4/320/180,8719
movie_5,Copycat (1995),Crime,https://picsum.photos/seed/movie_5/320/180,5420
movie_6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,https://picsum.photos/seed/movie_6/320/180,5956
movie_7,Twelve Monkeys (1995),Drama,https://picsum.photos/seed/movie_7/320/180,5964
movie_8,Babe (1995),Children's,https://picsum.photos/seed/movie_8/320/180,5705
movie_9,Dead Man Walking (1995),Drama,https://picsum.photos/seed/movie_9/320/180,6487
movie_10,Richard III (1995),Drama,https://picsum.photos/seed/movie_10/320/180,4996
movie_11,Seven (Se7en) (1995),Crime,https://picsum.photos/seed/movie_11/320/180,5819
movie_12,"Usual Suspects, The (1995)",Crime,https://picsum.photos/seed/movie_12/320/180,5881
movie_13,Mighty Aphrodite (1995),Comedy,https://picsum.photos/seed/movie_13/320/180,8474
movie_14,"Postino, Il (1994)",Drama,https://picsum.photos/seed/movie_14/320/180,6281
movie_15,Mr. Holland's Opus (1995),Drama,https://picsum.photos/seed/movie_15/320/180,8498
movie_16,French Twist (Gazon maudit) (1995),Comedy,https://picsum.photos/seed/movie_16/320/180,8695
movie_17,From Dusk Till Dawn (1996),Action,https://picsum.photos/seed/movie_17/320/180,5568
movie_18,"White Balloon, The (1995)",Drama,https://picsum.photos/seed/movie_18/320/180,5692
movie_19,Antonia's Line (1995),Drama,https://picsum.photos/seed/movie_19/320/180,6234
movie_20,Angels and Insects (1995),Drama,https://picsum.photos/seed/movie_20/320/180,5781
movie_21,Muppet Treasure Island (1996),Action,https://picsum.photos/seed/movie_21/320/180,6846
movie_22,Braveheart (1995),Action,https://picsum.photos/seed/movie_22/320/180,7462
movie_23,Taxi Driver (1976),Drama,https://picsum.photos/seed/movie_23/320/180,5656
movie_24,Rumble in the Bronx (1995),Action,https://picsum.photos/seed/movie_24/320/180,8813
movie_25,"Birdcage, The (1996)",Comedy,https://picsum.photos/seed/movie_25/320/180,6435
movie_26,"Brothers McMullen, The (1995)",Comedy,https://picsum.photos/seed/movie_26/320/180,5777
movie_27,Bad Boys (1995),Action,https://picsum.photos/seed/movie_27/320/180,5481
movie_28,Apollo 13 (1995),Action,https://picsum.photos/seed/movie_28/320/180,8633
movie_29,Batman Forever (1995),Action,https://picsum.photos/seed/movie_29/320/180,7837
movie_30,Belle de jour (1967),Drama,https://picsum.photos/seed/movie_30/320/180,7153
movie_31,Crimson Tide (1995),Drama,https://picsum.photos/seed/movie_31/320/180,5052
movie_32,Crumb (1994),Documentary,https://picsum.photos/seed/movie_32/320/180,6130
movie_33,Desperado (1995),Action,https://picsum.photos/seed/movie_33/320/180,6428
movie_34,"Doom Generation, The (1995)",Comedy,https://picsum.photos/seed/movie_34/320/180,5813
movie_35,Free Willy 2: The Adventure Home (1995),Adventure,https://picsum.photos/seed/movie_35/320/180,6560
movie_36,Mad Love (1995),Drama,https://picsum.photos/seed/movie_36/320/180,5361
movie_37,Nadja (1994),Drama,https://picsum.photos/seed/movie_37/320/180,4830
movie_38,"Net, The (1995)",Sci-Fi,https://picsum.photos/seed/movie_38/320/180,5511
movie_39,Strange Days (1995),Action,https://picsum.photos/seed/movie_39/320/180,7795
movie_40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,https://picsum.photos/seed/movie_40/320/180,7251
movie_41,Billy Madison (1995),Comedy,https://picsum.photos/seed/movie_41/320/180,4914
movie_42,Clerks (1994),Comedy,https://picsum.photos/seed/movie_42/320/180,5779
movie_43,Disclosure (1994),Drama,https://picsum.photos/seed/movie_43/320/180,4976
movie_44,Dolores Claiborne (1994),Drama,https://picsum.photos/seed/movie_44/320/180,7876
movie_45,Eat Drink Man Woman (1994),Comedy,https://picsum.photos/seed/movie_45/320/180,6754
movie_46,Exotica (1994),Drama,https://picsum.photos/seed/movie_46/320/180,8541
movie_47,Ed Wood (1994),Comedy,https://picsum.photos/seed/movie_47/320/180,6157
movie_48,Hoop Dreams (1994),Documentary,https://picsum.photos/seed/movie_48/320/180,4904
movie_49,I.Q. (1994),Comedy,https://picsum.photos/seed/movie_49/320/180,8281
movie_50,Star Wars (1977),Action,https://picsum.photos/seed/movie_50/320/180,5679
movie_51,Legends of the Fall (1994),Drama,https://picsum.photos/seed/movie_51/320/180,7137
movie_52,"Madness of King George, The (1994)",Drama,https://picsum.photos/seed/movie_52/320/180,6026
movie_53,Natural Born Killers (1994),Action,https://picsum.photos/seed/movie_53/320/180,5029
movie_54,Outbreak (1995),Action,https://picsum.photos/seed/movie_54/320/180,6965
movie_55,"Professional, The (1994)",Crime,https://picsum.photos/seed/movie_55/320/180,8265
movie_56,Pulp Fiction (1994),Crime,https://picsum.photos/seed/movie_56/320/180,7403
movie_57,Priest (1994),Drama,https://picsum.photos/seed/movie_57/320/180,7328
movie_58,Quiz Show (1994),Drama,https://picsum.photos/seed/movie_58/320/180,7864
movie_59,Three Colors: Red (1994),Drama,https://picsum.photos/seed/movie_59/320/180,5207
movie_60,Three Colors: Blue (1993),Drama,https://picsum.photos/seed/movie_60/320/180,6871
movie_61,Three Colors: White (1994),Drama,https://picsum.photos/seed/movie_61/320/180,8717
movie_62,Stargate (1994),Action,https://picsum.photos/seed/movie_62/320/180,8128
movie_63,"Santa Clause, The (1994)",Children's,https://picsum.photos/seed/movie_63/320/180,5345
movie_64,"Shawshank Redemption, The (1994)",Drama,https://picsum.photos/seed/movie_64/320/180,6770
movie_65,What's Eating Gilbert Grape (1993),Comedy,https://picsum.photos/seed/movie_65/320/180,5668
movie_66,While You Were Sleeping (1995),Comedy,https://picsum.photos/seed/movie_66/320/180,5498
movie_67,Ace Ventura: Pet Detective (1994),Comedy,https://picsum.photos/seed/movie_67/320/180,6163
movie_68,"Crow, The (1994)",Action,https://picsum.photos/seed/movie_68/320/180,8193
movie_69,Forrest Gump (1994),Comedy,https://picsum.photos/seed/movie_69/320/180,6319
movie_70,Four Weddings and a Funeral (1994),Comedy,https://picsum.photos/seed/movie_70/320/180,5369
movie_71,"Lion King, The (1994)",Animation,https://picsum.photos/seed/movie_71/320/180,8834
movie_72,"Mask, The (1994)",Comedy,https://picsum.photos/seed/movie_72/320/180,7487
movie_73,Maverick (1994),Action,https://picsum.photos/seed/movie_73/320/180,8054
movie_74,Faster Pussycat! Kill! Kill! (1965),Action,https://picsum.photos/seed/movie_74/320/180,7864
movie_75,Brother Minister: The Assassination of Malcolm X (1994),Documentary,https://picsum.photos/seed/movie_75/320/180,5283
movie_76,Carlito's Way (1993),Crime,https://picsum.photos/seed/movie_76/320/180,8592
movie_77,"Firm, The (1993)",Drama,https://picsum.photos/seed/movie_77/320/180,8932
movie_78,Free Willy (1993),Adventure,https://picsum.photos/seed/movie_78/320/180,6774
movie_79,"Fugitive, The (1993)",Action,https://picsum.photos/seed/movie_79/320/180,6470
